,value,month,year,change
431,188.3,8,1985,-0.02281368821292795
432,192.5,7,1985,-0.022304832713754497
433,188.9,6,1985,0.018701298701298663
434,184.9,5,1985,0.021175224986765495
435,180.6,4,1985,0.023255813953488413
436,179.4,3,1985,0.006644518272425182
437,180.9,2,1985,-0.008361204013378032
438,171.6,1,1985,0.05140961857379778
439,164.5,12,1984,0.04137529137529139
440,166.3,11,1984,-0.01094224924012166
441,164.8,10,1984,0.009019843656043247
442,166.1,9,1984,-0.007888349514562965
443,164.4,8,1984,0.010234798314268434
444,151.1,7,1984,0.08090024330900247
445,153.1,6,1984,-0.013236267372600974
446,156.6,5,1984,-0.02286087524493796
447,157.6,4,1984,-0.0063856960408683605
448,157.4,3,1984,0.0012690355329948444
449,157.3,2,1984,0.0006353240152477957
450,166.4,1,1984,-0.05785123966942152
451,164.4,12,1983,0.012019230769230727
452,165.2,11,1983,-0.0048661800486617945
453,167.7,10,1983,-0.015133171912832921
454,167.2,9,1983,0.0029815146094215317
455,162.4,8,1983,0.028708133971291794
456,167.0,7,1983,-0.028325123152709297
457,166.4,6,1983,0.003592814371257469
458,164.1,5,1983,0.013822115384615419
459,157.7,4,1983,0.039000609384521656
460,151.9,3,1983,0.036778693722257394
461,146.8,2,1983,0.03357472021066488
462,144.3,1,1983,0.017029972752043543
463,139.4,12,1982,0.03395703395703398
464,138.1,11,1982,0.009325681492109106
465,132.7,10,1982,0.03910209992758873
466,122.4,9,1982,0.07761868877166533
467,109.7,8,1982,0.10375816993464049
468,109.4,7,1982,0.0027347310847766204
469,109.7,6,1982,-0.002742230347349217
470,116.4,5,1982,-0.061075660893345596
471,116.3,4,1982,0.00085910652920973
472,110.8,3,1982,0.047291487532244214
473,114.5,2,1982,-0.03339350180505418
474,117.3,1,1982,-0.024454148471615644
475,123.8,12,1981,-0.05541346973572048
476,122.9,11,1981,0.007269789983844865
477,119.8,10,1981,0.02522375915378361
478,118.3,9,1981,0.012520868113522488
479,129.6,8,1981,-0.0955198647506339
480,129.1,7,1981,0.0038580246913579863
481,132.3,6,1981,-0.02478698683191327
482,131.7,5,1981,0.0045351473922904395
483,134.4,4,1981,-0.0205011389521641
484,133.2,3,1981,0.008928571428571508
485,128.4,2,1981,0.03603603603603589
486,133.0,1,1981,-0.03582554517133962
487,133.5,12,1980,-0.003759398496240518
488,135.7,11,1980,-0.016479400749063622
489,130.2,10,1980,0.040530582166543816
490,126.5,9,1980,0.02841781874039928
491,123.5,8,1980,0.02371541501976282
492,119.8,7,1980,0.029959514170040502
493,114.6,6,1980,0.04340567612687818
494,107.7,5,1980,0.060209424083769614
495,103.0,4,1980,0.04363974001857007
496,104.7,3,1980,-0.01650485436893212
497,115.3,2,1980,-0.10124164278892067
498,110.9,1,1980,0.03816131830008662
499,107.8,12,1979,0.027953110910730494
500,103.7,11,1979,0.03803339517625226
501,104.5,10,1979,-0.0077145612343296754
502,108.6,9,1979,-0.03923444976076551
503,107.4,8,1979,0.011049723756905938
504,102.7,7,1979,0.043761638733705754
505,101.7,6,1979,0.009737098344693274
506,99.73,5,1979,0.019370698131760067
507,102.1,4,1979,-0.023764163240749925
508,100.1,3,1979,0.019588638589618013
509,98.23,2,1979,0.018681318681318615
510,99.71,1,1979,-0.015066680240252373
511,96.11,12,1978,0.03610470364055751
512,94.71,11,1978,0.014566642388929463
513,100.6,10,1978,-0.06218984267764749
514,103.9,9,1978,-0.032803180914513064
515,103.9,8,1978,-0.0
516,97.19,7,1978,0.06458132820019258
517,97.66,6,1978,-0.004835888465891447
518,97.41,5,1978,0.0025599016997747137
519,92.71,4,1978,0.0482496663586901
520,88.82,3,1978,0.041958796246359675
521,88.98,2,1978,-0.0018013960819636132
522,90.25,1,1978,-0.014272870307934227
523,93.82,12,1977,-0.03955678670360108
524,94.28,11,1977,-0.004903005755702461
525,93.74,10,1977,0.005727619855748878
526,96.23,9,1977,-0.026562833368892758
527,97.75,8,1977,-0.015795489971942134
528,100.2,7,1977,-0.025063938618925752
529,99.29,6,1977,0.009081836327345272
530,98.76,5,1977,0.005337899083492803
531,99.05,4,1977,-0.0029364115026324633
532,100.6,3,1977,-0.015648662291771753
533,101.0,2,1977,-0.003976143141153132
534,103.8,1,1977,-0.027722772277227747
535,104.7,12,1976,-0.00867052023121384
536,101.2,11,1976,0.03342884431709647
537,101.9,10,1976,-0.006916996047430901
538,105.5,9,1976,-0.03532875368007837
539,103.3,8,1976,0.020853080568720372
540,104.2,7,1976,-0.00871248789932233
541,101.8,6,1976,0.02303262955854135
542,101.2,5,1976,0.005893909626718985
543,101.9,4,1976,-0.006916996047430901
544,101.1,3,1976,0.007850834151128638
545,100.6,2,1976,0.004945598417408492
546,96.86,1,1976,0.03717693836978131
547,88.7,12,1975,0.0842453024984513
548,90.07,11,1975,-0.01544532130777898
549,88.57,10,1975,0.016653713778172485
550,84.67,9,1975,0.04403296827368175
551,85.71,8,1975,-0.012282980985000469
552,92.49,7,1975,-0.07910395519775992
553,92.4,6,1975,0.0009730781706128733
554,90.1,5,1975,0.024891774891774965
555,84.72,4,1975,0.05971143174250826
556,83.78,3,1975,0.011095372993389918
557,80.1,2,1975,0.04392456433516356
558,72.56,1,1975,0.09413233458177273
559,67.07,12,1974,0.07566152149944882
560,71.74,11,1974,-0.06962874608617864
561,69.44,10,1974,0.03206021745190968
562,68.12,9,1974,0.019009216589861655
563,76.03,8,1974,-0.1161186142102173
564,79.31,7,1974,-0.04314086544784956
565,89.79,6,1974,-0.13213970495523908
566,89.67,5,1974,0.0013364517206816418
567,92.46,4,1974,-0.03111408497825341
568,97.44,3,1974,-0.0538611291369242
569,93.45,2,1974,0.04094827586206895
570,96.11,1,1974,-0.028464419475655367
571,94.78,12,1973,0.0138383102694829
572,102.0,11,1973,-0.07617640852500518
573,109.8,10,1973,-0.07647058823529407
574,105.6,9,1973,0.03825136612021862
575,103.8,8,1973,0.017045454545454475
576,105.8,7,1973,-0.019267822736030782
577,104.8,6,1973,0.009451795841209809
578,107.2,5,1973,-0.022900763358778775
579,110.3,4,1973,-0.02891791044776104
580,112.4,3,1973,-0.01903898458748876
581,114.2,2,1973,-0.016014234875444844
582,118.4,1,1973,-0.03677758318739066
583,117.5,12,1972,0.007601351351351426
584,115.1,11,1972,0.020425531914893713
585,109.6,10,1972,0.04778453518679404
586,109.4,9,1972,0.0018248175182480342
587,111.0,8,1972,-0.014625228519195455
588,107.2,7,1972,0.03423423423423422
589,108.0,6,1972,-0.00746268656716409
590,107.7,5,1972,0.002777777777777768
591,108.8,4,1972,-0.01021355617455888
592,107.7,3,1972,0.010110294117646967
593,105.2,2,1972,0.0232126276694522
594,103.3,1,1972,0.018060836501901156
595,99.17,12,1971,0.03998063891577919
596,92.78,11,1971,0.06443480891398612
597,97.29,10,1971,-0.04860961414097864
598,99.4,9,1971,-0.021687737691437947
599,97.24,8,1971,0.021730382293762673
600,99.0,7,1971,-0.018099547511312375
601,99.72,6,1971,-0.0072727272727273196
602,101.6,5,1971,-0.01885278780585642
603,103.0,4,1971,-0.013779527559055094
604,99.6,3,1971,0.03300970873786413
605,97.11,2,1971,0.02499999999999991
606,93.49,1,1971,0.03727731438574822
607,90.05,12,1970,0.03679537918493958
608,84.28,11,1970,0.06407551360355357
609,84.37,10,1970,-0.0010678690080683229
610,82.58,9,1970,0.021216072063529712
611,77.92,8,1970,0.05643012836037775
612,75.72,7,1970,0.02823408624229984
613,75.59,6,1970,0.0017168515583728672
614,76.06,5,1970,-0.0062177536711205406
615,85.95,4,1970,-0.1300289245332633
616,88.65,3,1970,-0.03141361256544495
617,87.16,2,1970,0.01680767061477728
618,90.31,1,1970,-0.036140431390546235
619,91.11,12,1969,-0.00885837670246925
620,96.21,11,1969,-0.055976292393809635
621,95.52,10,1969,0.007171811661989325
622,94.51,9,1969,0.010573701842546024
623,94.18,8,1969,0.0034916940006348707
624,94.71,7,1969,-0.0056275217668293465
625,99.14,6,1969,-0.04677436384753464
626,104.6,5,1969,-0.055073633245914744
627,101.3,4,1969,0.031548757170172026
628,99.3,3,1969,0.019743336623889385
